83,,2020-09-26 14:33:47.743746,0:00:06.111168,
32,,2020-09-26 14:33:47.835451,0:00:06.202873,
70,,2020-09-26 14:33:48.028836,0:00:06.396258,
79,,2020-09-26 14:33:48.122025,0:00:06.489447,
82,,2020-09-26 14:33:48.286679,0:00:06.654101,
32,,2020-09-26 14:33:48.349408,0:00:06.716830,
85,,2020-09-26 14:33:48.811930,0:00:07.179352,
83,,2020-09-26 14:33:48.937219,0:00:07.304641,
73,,2020-09-26 14:33:49.071162,0:00:07.438584,
78,,2020-09-26 14:33:49.135474,0:00:07.502896,
71,,2020-09-26 14:33:49.223043,0:00:07.590465,
32,,2020-09-26 14:33:49.327795,0:00:07.695217,
84,,2020-09-26 14:33:49.590628,0:00:07.958050,
72,,2020-09-26 14:33:49.671225,0:00:08.038647,
73,,2020-09-26 14:33:49.737887,0:00:08.105309,
83,,2020-09-26 14:33:49.910218,0:00:08.277640,
32,,2020-09-26 14:33:50.039286,0:00:08.406708,
65,,2020-09-26 14:33:50.349567,0:00:08.716989,
79,,2020-09-26 14:33:50.564533,0:00:08.931955,
79,,2020-09-26 14:33:50.721227,0:00:09.088649,
8,,2020-09-26 14:33:51.274872,0:00:09.642294,
8,,2020-09-26 14:33:51.399889,0:00:09.767311,
80,,2020-09-26 14:33:51.621747,0:00:09.989169,
80,,2020-09-26 14:33:51.746964,0:00:10.114386,
76,,2020-09-26 14:33:51.900055,0:00:10.267477,
73,,2020-09-26 14:33:52.116377,0:00:10.483799,
67,,2020-09-26 14:33:52.255421,0:00:10.622843,
65,,2020-09-26 14:33:52.402599,0:00:10.770021,
84,,2020-09-26 14:33:52.564617,0:00:10.932039,
73,,2020-09-26 14:33:52.619032,0:00:10.986454,
79,,2020-09-26 14:33:52.688590,0:00:11.056012,
78,,2020-09-26 14:33:52.887998,0:00:11.255420,
190,,2020-09-26 14:33:53.557923,0:00:11.925345,
13,,2020-09-26 14:33:53.780627,0:00:12.148049,
160,,2020-09-26 14:33:54.071058,0:00:12.438480,
84,,2020-09-26 14:33:54.289015,0:00:12.656437,
72,,2020-09-26 14:33:54.486004,0:00:12.853426,
73,,2020-09-26 14:33:54.559532,0:00:12.926954,
83,,2020-09-26 14:33:54.678444,0:00:13.045866,
32,,2020-09-26 14:33:54.823756,0:00:13.191178,
73,,2020-09-26 14:33:55.014530,0:00:13.381952,
83,,2020-09-26 14:33:55.088857,0:00:13.456279,
32,,2020-09-26 14:33:55.220918,0:00:13.588340,
65,,2020-09-26 14:33:55.367336,0:00:13.734758,
32,,2020-09-26 14:33:55.463853,0:00:13.831275,
86,,2020-09-26 14:33:55.828539,0:00:14.195961,
69,,2020-09-26 14:33:55.920061,0:00:14.287483,
82,,2020-09-26 14:33:56.146076,0:00:14.513498,
89,,2020-09-26 14:33:56.430757,0:00:14.798179,
32,,2020-09-26 14:33:56.531611,0:00:14.899033,
69,,2020-09-26 14:33:56.729012,0:00:15.096434,
65,,2020-09-26 14:33:56.957804,0:00:15.325226,
82,,2020-09-26 14:33:57.063977,0:00:15.431399,
76,,2020-09-26 14:33:57.392694,0:00:15.760116,
89,,2020-09-26 14:33:57.541560,0:00:15.908982,
32,,2020-09-26 14:33:57.718409,0:00:16.085831,
82,,2020-09-26 14:33:58.213699,0:00:16.581121,
69,,2020-09-26 14:33:58.273446,0:00:16.640868,
76,,2020-09-26 14:33:58.483377,0:00:16.850799,
69,,2020-09-26 14:33:58.579184,0:00:16.946606,
65,,2020-09-26 14:33:58.724957,0:00:17.092379,
83,,2020-09-26 14:33:58.838107,0:00:17.205529,
69,,2020-09-26 14:33:59.040589,0:00:17.408011,
